68	68	68	66
84	84	86	84
126	132	126	126
100	104	98	100
78	76	76	74
94	94	92	92
90	90	90	90
98	84	80	84
88	86	88	84
78	78	78	76
114	116	114	116
92	90	80	80
76	76	72	72
74	72	72	72
76	74	72	70
80	80	68	56
74	74	74	76
104	100	100	100
74	108	72	108
82	102	68	70
142	144	136	136
58	98	58	100
76	78	76	76
98	98	94	92
80	76	80	78
58	72	52	60
116	116	116	116
110	112	110	112
100	98	98	98
88	88	88	88
74	74	112	70
102	104	104	104
68	70	66	68
78	78	76	76
76	78	78	80
128	130	128	130
78	86	76	82
120	118	120	118
110	110	108	108
100	102	100	102
114	116	112	108
102	86	78	82
98	102	96	98
102	102	100	98
86	86	80	76
74	100	72	96
72	70	70	30
74	74	36	40
94	92	84	78
94	106	86	88
72	72	68	68
114	114	114	114
108	108	108	108
76	76	74	72
76	74	76	74
90	88	88	88
106	104	106	104
96	94	96	94
114	116	112	114
72	68	72	68
82	80	80	80
110	110	110	110
68	76	68	74
116	118	116	116
60	60	62	60
86	88	86	88
78	78	76	76
74	52	72	42
80	82	80	82
94	94	92	92
94	88	94	92
110	108	110	108
100	100	100	100
90	88	88	86
