80	80	82	80
78	82	80	84
176	198	158	160
106	108	104	102
76	78	100	90
110	110	108	110
102	102	86	90
70	66	70	66
74	76	74	74
106	102	106	102
74	74	70	74
96	98	96	98
116	114	114	112
106	106	102	104
78	110	78	78
66	66	66	66
74	74	90	90
82	84	80	80
66	66	66	64
114	112	108	108
74	74	74	72
90	92	70	66
140	140	134	134
96	98	96	96
98	76	62	74
120	122	92	94
82	82	82	82
76	76	56	56
120	120	122	120
90	90	98	86
106	102	104	102
118	118	118	118
74	76	74	74
82	82	82	80
78	80	78	78
118	118	118	118
62	64	64	58
118	114	116	112
80	66	80	80
78	78	74	76
84	84	70	84
78	76	78	76
78	78	78	78
196	194	196	194
78	78	80	78
130	114	116	112
56	102	60	100
80	82	78	80
120	120	120	116
106	104	104	102
86	82	84	80
98	100	98	100
92	92	80	88
70	72	70	72
80	78	80	78
76	74	74	74
76	76	76	76
90	88	64	68
98	98	100	100
60	70	60	68
116	122	118	122
92	92	92	92
112	112	112	112
84	84	76	70
102	102	100	100
78	78	78	80
106	110	92	94
100	100	100	102
104	104	104	104
88	88	120	74
108	108	110	108
130	128	128	128
110	118	80	106
106	106	106	106
122	86	124	124
112	112	112	112
98	98	98	98
74	76	72	76
78	80	90	78
80	80	78	80
74	70	72	70
58	58	56	58
84	82	82	82
90	90	90	90
76	74	74	74
76	92	76	92
100	100	78	74
106	106	108	106
94	84	90	84
94	94	92	92
NaN	NaN	98	76
NaN	NaN	284	102
NaN	NaN	104	100
NaN	NaN	116	114
NaN	NaN	112	112
NaN	NaN	98	98
NaN	NaN	90	88
NaN	NaN	146	146
NaN	NaN	128	122
NaN	NaN	82	84
NaN	NaN	86	118
NaN	NaN	98	100
NaN	NaN	70	70
NaN	NaN	112	112
NaN	NaN	140	140
NaN	NaN	94	94
NaN	NaN	108	108
NaN	NaN	136	152
NaN	NaN	108	106
NaN	NaN	74	110
NaN	NaN	120	118
NaN	NaN	104	104
NaN	NaN	110	110
NaN	NaN	86	86
NaN	NaN	98	98
NaN	NaN	86	88
NaN	NaN	124	124
NaN	NaN	94	94
NaN	NaN	112	112
NaN	NaN	82	78
